title,body,labels,assignees,milestone
"Phase 0 — Foundation (Epic)","See docs/issue-definitions/phase0.md","phase0,epic",,
"Auth0 tenant + apps configured (task)","Create an Auth0 tenant for dev (and a separate one for prod)\nConfigure Single Page App for Next.js and Machine-to-Machine for backend\nCreate roles (poster, worker, admin) and add custom role claim.","phase0,backend",,
"Dev Postgres + Redis + object storage (task)","Provision a local dev Postgres and Redis (docker-compose)\nConfigure object storage (minio or Supabase) for media\nEnsure connection strings and migrations path configured","phase0,backend",,
"Next.js skeleton + Auth0 integration (task)","Create a Next.js skeleton app with @auth0/nextjs-auth0 configured\nAdd placeholder pages: home, create task, task detail, login","phase0,frontend",,
"FastAPI skeleton + JWT verify (task)","Create FastAPI project skeleton\nImplement middleware or dependency to validate Auth0 JWT via JWKS\nExpose a protected /api/v1/auth/me endpoint returning the mapped user","phase0,backend",,
"Basic Postgres models + Prisma schema/migrations (task)","Define core Postgres schema for users, tasks, assignments, payments\nCreate Prisma schema and initial migration","phase0,backend",,
"Task create/list/detail flows (task)","Implement POST /api/v1/tasks, GET /api/v1/tasks (search by geo), GET /api/v1/tasks/:id\nFrontend pages: create task, task detail, browse map/list","phase1,backend",,
"Worker presence & geo (Redis GEO) (task)","Implement worker location reporting to Redis (GEOADD)\nExpose worker presence API and sample frontend map for workers","phase1,backend",,
"Matching + accept flow (lock & assignment) (task)","Implement matching service that uses GEORADIUS to find workers\nImplement lock (SETNX) or DB transaction to ensure single acceptor","phase1,backend",,
"M-Pesa sandbox STK flow (initiate + simulate webhook) (task)","Implement /payments/initiate to call Daraja sandbox STK push\nImplement /payments/webhook to receive callbacks and mark payment status","phase1,backend",,
"Basic notifications (push + SMS fallback) (task)","Integrate FCM for push notifications\nAdd SMS fallback via Twilio or Africa's Talking for critical flows","phase1,backend",,
"Postgres persistence, admin basic views (task)","Ensure core tables are persisted in Postgres\nCreate simple admin endpoints or pages for listing users, tasks, and disputes","phase1,backend",,
"Rating & dispute flows (task)","Implement ratings endpoint and dispute creation workflow\nAdmin tooling to resolve disputes","phase2,backend",,
"Wallet & payout (Daraja B2C) (task)","Implement worker wallet ledger and withdrawal requests\nIntegrate Daraja B2C payouts with retry and logging","phase2,backend",,
